"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"            Dried miscellaneous vegetables                  ","MEAN",11.17,6.93,6.94,7.09,8.62,10.64,10.26,10.58,9.91,14.32
"            Dried miscellaneous vegetables                  ","SE",0.55,1.97,2.19,1.97,1.49,1.57,1.51,1.37,1.57,1.16
"            Dried processed vegetables                      ","MEAN",0.47,0.16,0.48,0,0,0.82,0.4,0.24,0.41,0.65
"            Dried processed vegetables                      ","SE",0.1,0.16,0.38,0,0,0.43,0.34,0.2,0.27,0.21
"            Frozen vegetable juices                         ","MEAN",0.38,0.08,1.9,0.14,0.01,0.09,0.63,0.56,0.27,0.41
"            Frozen vegetable juices                         ","SE",0.1,0.06,1.85,0.14,0.01,0.05,0.29,0.27,0.11,0.17
"            Fresh and canned vegetable juices               ","MEAN",18.84,11.14,11.65,12.12,13.66,12.96,14.05,22.9,20.46,24.1
"            Fresh and canned vegetable juices               ","SE",0.96,2.29,2.17,2.15,1.95,1.49,1.67,2.77,2.35,2.02
"      Other food at home                                    ","MEAN",1381.89,804.27,826.14,842.44,921.23,986.44,1175.76,1248.36,1352.32,1919.07
"      Other food at home                                    ","SE",24.77,68.34,80.37,52.28,47.59,48.02,54.71,57.69,56.24,42.66
"        Sugar and other sweets                              ","MEAN",139.27,84.02,79.96,92.27,90.83,102.39,132.08,135.34,124.79,189.57
"        Sugar and other sweets                              ","SE",3.96,12.31,11.2,10.2,5.21,7.67,12.81,8.89,6.7,7
"          Candy and chewing gum                             ","MEAN",88.17,48.8,45.99,51.16,53.38,59,82.76,85.85,76.37,126.2
"          Candy and chewing gum                             ","SE",3.32,8.92,9.3,6.82,5.61,6.48,10.45,6.97,5.12,6.06
"          Sugar                                             ","MEAN",20.3,15.7,18.74,15.59,17.67,18.17,23.42,22.97,17.14,22.68
"          Sugar                                             ","SE",0.92,2.52,4.51,2.54,4.37,1.9,2.94,2.56,1.75,2.11
"          Artificial sweeteners                             ","MEAN",3.87,4.19,4.01,0.66,2.94,2.07,4.72,3.06,4.3,4.92
"          Artificial sweeteners                             ","SE",0.36,2.27,1.8,0.4,0.91,0.64,1.28,0.97,1.11,0.65
"          Jams, preserves, other sweets                     ","MEAN",26.92,15.34,11.21,24.86,16.84,23.15,21.18,23.45,26.98,35.76
"          Jams, preserves, other sweets                     ","SE",1.28,2.94,2.26,3.95,2.23,2.36,2.48,3.03,2.36,2.19
"        Fats and oils                                       ","MEAN",114.88,82.16,66.56,81.88,87.42,82.83,103.74,103.57,109.53,152.91
"        Fats and oils                                       ","SE",3.33,12.84,9.42,9.77,8.42,5.66,6.82,6.74,6.28,6.31
"          Margarine                                         ","MEAN",6.98,5.73,5.26,5.85,5.89,5.47,6.2,4.77,7.96,8.57
"          Margarine                                         ","SE",0.47,2.51,1.84,1.66,1.32,0.96,1,0.95,1.29,0.78
"          Fats and oils                                     ","MEAN",36.02,28.54,16.16,27.99,32.31,24.84,36.42,36.49,33.86,45.17
"          Fats and oils                                     ","SE",1.51,5.1,4.11,4.22,4.88,2.66,4.01,3.81,2.72,2.72
"          Salad dressings                                   ","MEAN",29.51,18.24,20.49,21.46,18.97,23.74,27.22,27.4,29.09,38.28
"          Salad dressings                                   ","SE",1.1,2.9,4.1,5.99,1.81,2.6,2.58,2.42,2.44,1.82
"          Nondairy cream and imitation milk                 ","MEAN",22.65,9.68,9.9,12.15,17.06,15.46,19.63,19.95,22.86,31.95
"          Nondairy cream and imitation milk                 ","SE",1.08,3.16,2.49,2.59,2.93,2.25,2.2,2.62,2.64,2.08
"          Peanut butter                                     ","MEAN",19.72,19.98,14.74,14.43,13.19,13.32,14.28,14.97,15.76,28.94
"          Peanut butter                                     ","SE",0.89,8.8,3.31,2.64,2.75,1.71,2.07,2.18,1.67,1.91
"        Miscellaneous foods                                 ","MEAN",702,405.02,421.21,411.07,457.51,484.8,577.9,640.98,674.52,992.37
"        Miscellaneous foods                                 ","SE",13.41,40.5,50.95,26.34,29.09,27.35,33.85,33.13,31.45,23.07
"          Frozen prepared foods                             ","MEAN",128.92,72.91,94.11,93.36,98.15,85.23,121.36,113.66,131.49,169.77
"          Frozen prepared foods                             ","SE",5.03,13.63,16.72,9.24,8.49,7.65,17.44,9.12,9.87,9.6
"            Frozen meals                                    ","MEAN",57.1,27.07,45.67,39.13,46.3,37.41,57.39,47.26,55.95,76.04
"            Frozen meals                                    ","SE",3.08,6,10.37,6.67,5.2,4.7,15.34,5.77,5.53,6.21
"            Other frozen prepared foods                     ","MEAN",71.82,45.84,48.45,54.23,51.85,47.82,63.98,66.41,75.54,93.73
"            Other frozen prepared foods                     ","SE",2.91,9.67,13.5,10.06,6.46,4.59,7.63,5.79,6.92,4.81
"          Canned and packaged soups                         ","MEAN",46.13,35.34,24.55,28.02,29.07,36.53,39.03,47.51,40.99,62.74
"          Canned and packaged soups                         ","SE",1.21,5.76,4.47,3.38,3.55,3.61,4.41,4.86,3.9,2.56
"          Potato chips, nuts, and other snacks              ","MEAN",161.67,92.07,90.09,85.72,95.41,112.55,127.52,150.05,160.21,231.35
"          Potato chips, nuts, and other snacks              ","SE",3.87,13.26,13.46,9.55,11.12,7.28,8.02,8.99,9.11,7.6
"            Potato chips and other snacks                   ","MEAN",114.92,67.4,70.5,67.42,65.81,80.9,91.6,111.26,118.48,159.19
"            Potato chips and other snacks                   ","SE",2.61,13.48,10.99,6.88,8.87,5.14,6.16,7.09,7.61,5.62
"            Nuts                                            ","MEAN",46.76,24.67,19.59,18.31,29.6,31.65,35.92,38.79,41.73,72.15
"            Nuts                                            ","SE",2.18,7.85,4.92,4.94,5.17,3.92,3.98,4.73,4.71,3.68
"          Condiments and seasonings                         ","MEAN",134.28,79.94,55.27,71.81,87.79,92.93,105.68,133.29,131.24,190.65
"          Condiments and seasonings                         ","SE",2.85,11.44,7.45,6.96,7.43,6.17,6.54,11.62,7.35,5.58
"            Salt, spices, other seasonings                  ","MEAN",37.66,27.76,17.86,20.46,25.46,25.77,30.86,44.64,32.65,52.11
"            Salt, spices, other seasonings                  ","SE",1.2,4.57,4.22,3.1,2.81,3.24,2.95,5.76,2.85,2.02
"            Olives, pickles, relishes                       ","MEAN",15.63,10.62,5.22,8.67,11.64,11.19,11.37,13.76,16.8,21.8
"            Olives, pickles, relishes                       ","SE",0.72,2.9,1.68,1.72,2.99,1.54,1.46,1.84,1.98,1.34
"            Sauces and gravies                              ","MEAN",58.67,32.37,23.16,32.91,35.49,40.23,45.61,51.09,59.85,85.05
"            Sauces and gravies                              ","SE",1.39,4.92,2.92,3.65,3.34,2.69,3.16,4.25,3.95,3.37
"            Baking needs and miscellaneous products         ","MEAN",22.31,9.19,9.04,9.77,15.2,15.74,17.83,23.81,21.95,31.7
"            Baking needs and miscellaneous products         ","SE",0.91,2.02,2.71,1.78,2.29,1.75,2.77,3.31,1.86,1.39
"          Other canned and packaged prepared foods          ","MEAN",231,124.76,157.18,132.16,147.09,157.55,184.31,196.46,210.6,337.86
"          Other canned and packaged prepared foods          ","SE",5.88,24.18,32.28,14.07,12.11,13.33,13.45,12.32,12.49,14.35
"            Prepared salads                                 ","MEAN",38.92,17.62,25.37,18.41,27.74,23.61,30.54,27.96,40.62,57.73
"            Prepared salads                                 ","SE",1.44,3.3,6.11,4.85,4.4,2.2,3.16,2.71,4.06,3.36
"            Prepared desserts                               ","MEAN",15.61,7.7,12.07,12.85,16.07,11.95,14.1,15.62,14.66,19.25
"            Prepared desserts                               ","SE",0.75,1.94,2.95,2.57,2.99,1.7,2.07,2.25,1.69,1.36
"            Baby food                                       ","MEAN",23.66,23.78,39.64,14.72,11.07,19.95,15.19,21.58,13.69,34.57
"            Baby food                                       ","SE",2.42,21.22,28.37,5.25,5.45,6.2,4.02,6.51,4.07,4.95
"            Miscellaneous prepared foods                    ","MEAN",152.74,75.66,80.09,86.18,91.27,102.04,124.49,131.31,141.63,226.31
"            Miscellaneous prepared foods                    ","SE",4.55,10.27,12.56,11.7,8.59,8.59,12.18,10.26,8.99,11.85
"            Vitamin supplements                             ","MEAN",0.06,0,0,0,0.94,0,0,0,0,0
"            Vitamin supplements                             ","SE",0.07,0,0,0,0.98,0,0,0,0,0
"        Nonalcoholic beverages                              ","MEAN",374.57,223.54,245.3,245.17,273.94,294.79,322.47,331.3,396.61,487.63
"        Nonalcoholic beverages                              ","SE",6.99,23.07,24.39,18.35,16.72,17.25,16.57,17.89,21.56,15.41
"          Cola                                              ","MEAN",66.9,45.07,50.3,50.71,50.74,55.94,67.83,61.04,74.85,78.15
"          Cola                                              ","SE",1.94,7.49,8.04,5.96,5.24,4.86,5.65,4.59,5.89,3.24
"          Other carbonated drinks                           ","MEAN",65.41,40.54,48.87,51.2,50.45,51.62,55.06,65.13,71.08,80.2
"          Other carbonated drinks                           ","SE",1.69,5.62,9.43,8.98,5.01,5.88,5.32,6.33,4.6,3.4
"          Tea                                               ","MEAN",35.39,17.07,26.32,20.9,26.32,22.96,29.76,37.89,38,46.42
"          Tea                                               ","SE",1.58,3.24,4.45,3.48,4.51,2.69,3.32,5.3,4.72,3.27
"          Coffee                                            ","MEAN",89.68,45.65,37.72,48.41,54.33,69.15,72.78,77.16,96.87,124.97
"          Coffee                                            ","SE",3.31,8.26,5.31,5.78,5.46,7.45,6.04,6.49,13.1,6.38
"            Roasted coffee                                  ","MEAN",58.57,25.17,18.95,29.51,32.28,42.12,44.52,46.63,63,86.6
"            Roasted coffee                                  ","SE",2.38,5.14,3.6,4.01,3.69,6.19,4.51,4.69,7.1,5.24
"            Instant and freeze dried coffee                 ","MEAN",31.12,20.48,18.77,18.91,22.06,27.03,28.25,30.53,33.87,38.38
"            Instant and freeze dried coffee                 ","SE",1.45,5,2.92,2.79,2.87,2.29,2.83,3.43,6.64,2.31
"          Noncarbonated fruit flavored drinks, including    ","MEAN",24.92,14.66,18.02,15.05,20.23,24.91,19.82,19.54,23.3,32.78
"          Noncarbonated fruit flavored drinks, including    ","SE",1.12,4.13,3.32,3.92,2.96,3.87,2.39,2.41,2.45,2.48
"          Other noncarbonated beverages and ice             ","MEAN",14.7,9.29,8.12,10.73,13.17,9.75,12.52,10.56,16.92,19.29
"          Other noncarbonated beverages and ice             ","SE",0.76,3.02,2.84,3.43,2.53,1.68,1.95,2.24,2.1,1.58
"          Bottled water                                     ","MEAN",60.31,39.59,40.56,36.45,49.47,48.29,49.89,46.25,59.93,81.34
"          Bottled water                                     ","SE",1.87,5.09,5.59,5.04,6.94,4.45,4.97,3.62,4.11,4.07
"          Sports drinks                                     ","MEAN",17.2,11.66,15.39,11.71,9.23,12.18,14.75,13.73,15.66,24.36
"          Sports drinks                                     ","SE",0.73,2.68,6.07,2.69,2.41,2.28,3.41,2.13,1.91,2.03
"          Nonalcoholic beer                                 ","MEAN",0.05,0,0,0,0,0,0.06,0,0,0.13
"          Nonalcoholic beer                                 ","SE",0.03,0,0,0,0,0,0.07,0,0,0.08
"        Food prepared by consumer unit on out-of-town trips ","MEAN",51.18,9.52,13.12,12.05,11.54,21.64,39.57,37.16,46.88,96.59
"        Food prepared by consumer unit on out-of-town trips ","SE",2.83,2.46,2.82,2.65,2.94,4.45,8.06,4.11,7.89,5.85
"    Food away from home                                     ","MEAN",2787.16,1227.33,1009.07,1002.87,1292.63,1481.03,1855.44,2247.45,2560.69,4688.98
"    Food away from home                                     ","SE",51.03,110.17,101.15,80.29,90.83,68.75,91.47,119.99,80.39,95.71
"      Meals at restaurants, carry outs and other            ","MEAN",2374.68,1108.97,901.63,887.75,1152.78,1324.09,1643.34,1998.73,2245.97,3849.77
"      Meals at restaurants, carry outs and other            ","SE",44.64,107.69,99.01,79.72,93.17,69.66,89.34,116.8,71.34,78.17
"        Lunch                                               ","MEAN",773.04,344.04,333.93,319.74,367.04,469.39,574,619.91,755.22,1221.14
"        Lunch                                               ","SE",16.73,44.6,49.06,35.93,29.68,25.8,33.27,39.75,32.72,32.09
"          Lunch at fast food, take-out, delivery, concession","MEAN",378.8,195.15,199.81,185.43,212.85,243.61,295.59,335.16,377.97,560.75
"          Lunch at fast food, take-out, delivery, concession","SE",9.97,30.08,30,23.51,20.3,15.67,17.76,25.96,18.09,20.49
"          Lunch at full service restaurants                 ","MEAN",313.41,130.3,104.06,114.79,136.41,192.69,214.92,232.26,307.4,512.69
"          Lunch at full service restaurants                 ","SE",10.18,25.88,35.87,25.63,18.44,17.56,28.38,21.28,19.65,20.73
"          Lunch at vending machines and mobile vendors      ","MEAN",10.55,3.06,7.09,6.75,3.76,7.18,19.77,8.76,11.03,12.29
"          Lunch at vending machines and mobile vendors      ","SE",1.42,1.91,3.92,4.54,1.95,2.76,11.75,3.31,2,1.55
"          Lunch at employer and school cafeterias           ","MEAN",70.29,15.53,22.96,12.77,14.03,25.91,43.72,43.73,58.82,135.41
"          Lunch at employer and school cafeterias           ","SE",5.38,7.15,10.08,4.06,4.03,6.06,9.55,9.35,8.12,14.18
"         Dinner                                             ","MEAN",1150.71,538.9,379.98,380.19,541.73,573.51,741.33,965.45,1036.3,1944.13
"         Dinner                                             ","SE",26.82,64.5,51.66,46.75,61.86,40.41,50.5,68.3,42.91,55.37
"          Dinner at fast food, take-out, delivery, concessio","MEAN",387.82,238.85,193.96,184.87,187.32,217.54,329.34,349.68,424.65,562.64
"          Dinner at fast food, take-out, delivery, concessio","SE",10.16,30.08,29.3,24.6,19.63,19.67,22.33,33.58,25.41,19.18
"          Dinner at full service restaurants                ","MEAN",752.92,291.34,166.37,190.67,350.74,349.19,400.15,608.4,601.31,1369.18
"          Dinner at full service restaurants                ","SE",25.7,47.45,30.77,35.19,51.8,29.79,47.21,56.38,43.26,54.32
"          Dinner at vending machines and mobile vendors     ","MEAN",3.88,1.13,3.61,0.85,1.88,3.23,3.61,2.76,3.75,5.72
"          Dinner at vending machines and mobile vendors     ","SE",0.68,1.06,2.42,0.82,1.45,1.57,1.39,1.13,1.28,1.6
"          Dinner at employer and school cafeterias          ","MEAN",6.09,7.59,16.04,3.8,1.79,3.55,8.24,4.6,6.59,6.59
"          Dinner at employer and school cafeterias          ","SE",0.96,5.63,13.41,3.12,0.94,1.47,2.73,1.74,2.69,1.41
